	GCA_002918395	GCF_000409485	GCF_001500285	GSE85906_GcC1	GSE85906_OnM2	bgh_dh14_v4	bgt_96224_GCA_000418435	botrytis_cinerea_b05_GCF_000143535	erysiphe_necator_GCA_000798715	marssonina_brunnea_fsp_MBm1_GCF_000298775	oidiodendron_maius_GCA_000827325	phialocephala_subalpina_GCA_900073065	pseudogymnoascus_destructans_20631_GCF_000184105	res	rhynchosporium_commune_GCA_900074885	sclerotinia_sclerotium_1980_GCF_000146945
OG0019751								XP_001545171.1_BC1G_16322								
OG0019752								XP_001545176.1_BC1G_16314_								
OG0019753								XP_001545180.1_BC1G_16311								
OG0019754								XP_001545182.1_BC1G_16308								
OG0019755								XP_001545196.1_BC1G_16288								
OG0019756								XP_001545197.1_BC1G_16289								
OG0019757								XP_001545199.1_BC1G_16286_								
OG0019758								XP_001545200.1_BC1G_16285								
OG0019759								XP_001545201.1_BC1G_16284								
OG0019760								XP_001545204.1_BC1G_16280_								
OG0019761								XP_001545207.1_BC1G_16275								
OG0019762								XP_001545210.1_BC1G_16272								
OG0019763								XP_001545214.1_BC1G_16267								
OG0019764								XP_001545216.1_BC1G_16265								
OG0019765								XP_001545223.1_BC1G_16259								
OG0019766								XP_001545224.1_BC1G_16257								
OG0019767								XP_001545225.1_BC1G_16255_								
OG0019768								XP_001545234.1_BC1G_16246								
OG0019769								XP_001545236.1_BC1G_16243								
OG0019770								XP_001545237.1_BC1G_16244_								
OG0019771								XP_001545238.1_BC1G_16242								
OG0019772								XP_001545242.1_BC1G_16237_								
OG0019773								XP_001545244.1_BC1G_16233_								
OG0019774								XP_001545245.1_BC1G_16234								
OG0019775								XP_001545248.1_BC1G_16228								
OG0019776								XP_001545250.1_BC1G_16225								
OG0019777								XP_001545253.1_BC1G_16220_								
OG0019778								XP_001545254.1_BC1G_16221								
OG0019779								XP_001545262.1_BC1G_16212_								
OG0019780								XP_001545264.1_BC1G_16211								
OG0019781								XP_001545268.1_BC1G_16207								
OG0019782								XP_001545270.1_BC1G_16204								
OG0019783								XP_001545272.1_BC1G_16200								
OG0019784								XP_001545276.1_BC1G_16196								
OG0019785								XP_001545277.1_BC1G_16192								
OG0019786								XP_001545280.1_BC1G_16181_								
OG0019787								XP_001545281.1_BC1G_16182								
OG0019788								XP_001545284.1_BC1G_16178								
OG0019789								XP_001545285.1_BC1G_16172								
OG0019790								XP_001545286.1_BC1G_16173								
OG0019791								XP_001545287.1_BC1G_16174								
OG0019792								XP_001545288.1_BC1G_16299_								
OG0019793								XP_001545289.1_BC1G_16300								
OG0019794								XP_001545293.1_BC1G_16126								
OG0019795								XP_001545294.1_BC1G_16187_								
OG0019796								XP_001545297.1_BC1G_16149_								
OG0019797								XP_001545299.1_BC1G_16189								
OG0019798								XP_001545302.1_BC1G_16184								
OG0019799								XP_001545308.1_BC1G_16183								
OG0019800								XP_001545310.1_BC1G_16150								
OG0019801								XP_001545314.1_BC1G_15998								
OG0019802								XP_001545315.1_BC1G_15999								
OG0019803								XP_001545320.1_BC1G_16104								
OG0019804								XP_001545321.1_BC1G_16105								
OG0019805								XP_001545322.1_BC1G_16106								
OG0019806								XP_001545323.1_BC1G_16175								
OG0019807								XP_001545325.1_BC1G_16121								
OG0019808								XP_001545326.1_BC1G_16122								
OG0019809								XP_001545327.1_BC1G_16123								
OG0019810								XP_001545328.1_BC1G_16124								
OG0019811								XP_001545329.1_BC1G_16125								
OG0019812								XP_001545334.1_BC1G_16139								
OG0019813								XP_001545336.1_BC1G_16093								
OG0019814								XP_001545340.1_BC1G_16021								
OG0019815								XP_001545343.1_BC1G_16131								
OG0019816								XP_001545344.1_BC1G_16132								
OG0019817								XP_001545349.1_BC1G_16017								
OG0019818								XP_001545350.1_BC1G_16018								
OG0019819								XP_001545352.1_BC1G_16020								
OG0019820								XP_001545355.1_BC1G_16129_								
OG0019821								XP_001545360.1_BC1G_16167_								
OG0019822								XP_001545361.1_BC1G_16094								
OG0019823								XP_001545371.1_BC1G_16144								
OG0019824								XP_001545372.1_BC1G_16145								
OG0019825								XP_001545375.1_BC1G_16112								
OG0019826								XP_001545383.1_BC1G_16049								
OG0019827								XP_001545387.1_BC1G_16116								
OG0019828								XP_001545391.1_BC1G_15988								
OG0019829								XP_001545395.1_BC1G_16036								
OG0019830								XP_001545396.1_BC1G_16037								
OG0019831								XP_001545398.1_BC1G_16039								
OG0019832								XP_001545417.1_BC1G_16045								
OG0019833								XP_001545419.1_BC1G_16063								
OG0019834								XP_001545421.1_BC1G_16065								
OG0019835								XP_001545422.1_BC1G_16066								
OG0019836								XP_001545426.1								
OG0019837								XP_001545428.1								
OG0019838								XP_001545431.1_BC1G_16099								
OG0019839								XP_001545434.1_BC1G_16102								
OG0019840								XP_001545436.1_BC1G_16052								
OG0019841								XP_001545439.1_BC1G_16055								
OG0019842								XP_001545440.1_BC1G_16056								
OG0019843								XP_001545441.1_BC1G_16057								
OG0019844								XP_001545442.1_BC1G_16058								
OG0019845								XP_001545443.1_BC1G_16059								
OG0019846								XP_001545444.1_BC1G_16060								
OG0019847								XP_001545445.1_BC1G_16022_								
OG0019848								XP_001545447.1_BC1G_16024								
OG0019849								XP_001545448.1_BC1G_16025								
OG0019850								XP_001545450.1_BC1G_15990								
OG0019851								XP_001545458.1_BC1G_16029								
OG0019852								XP_001545460.1_BC1G_16031								
OG0019853								XP_001545461.1								
OG0019854								XP_001545463.1								
OG0019855								XP_001545464.1								
OG0019856								XP_001545465.1_BC1G_16011								
OG0019857								XP_001545468.1_BC1G_16014								
OG0019858								XP_001545472.1_BC1G_15978								
OG0019859								XP_001545473.1_BC1G_15979								
OG0019860								XP_001545475.1_BC1G_15981								
OG0019861								XP_001545476.1_BC1G_15982								
OG0019862								XP_001545477.1_BC1G_15983								
OG0019863								XP_001545478.1_BC1G_15984								
OG0019864								XP_001545479.1_BC1G_15985								
OG0019865								XP_001545481.1_BC1G_16003								
OG0019866								XP_001545482.1_BC1G_16004								
OG0019867								XP_001545483.1_BC1G_16005								
OG0019868								XP_001545485.1_BC1G_16007								
OG0019869								XP_001545492.1_BC1G_15957								
OG0019870								XP_001545494.1_BC1G_15959								
OG0019871								XP_001545495.1_BC1G_15960								
OG0019872								XP_001545496.1_BC1G_15961								
OG0019873								XP_001545497.1								
OG0019874								XP_001545498.1_BC1G_15963								
OG0019875								XP_001545504.1_BC1G_15970								
OG0019876								XP_001545505.1_BC1G_15971								
OG0019877								XP_001545509.1_BC1G_15975								
OG0019878								XP_001545513.1_BC1G_15937								
OG0019879								XP_001545515.1_BC1G_15939								
OG0019880								XP_001545516.1								
OG0019881								XP_001545526.1_BC1G_15950								
OG0019882								XP_001545527.1_BC1G_15951								
OG0019883								XP_001545531.1								
OG0019884								XP_001545532.1								
OG0019885								XP_001545533.1								
OG0019886								XP_001545534.1								
OG0019887								XP_001545535.1								
OG0019888								XP_001545536.1								
OG0019889								XP_001545538.1								
OG0019890								XP_001545540.1								
OG0019891								XP_001545541.1								
OG0019892								XP_001545542.1								
OG0019893								XP_001545544.1_BC1G_15894_								
OG0019894								XP_001545554.1_BC1G_15904								
OG0019895								XP_001545555.1_BC1G_15905								
OG0019896								XP_001545557.1								
OG0019897								XP_001545558.1								
OG0019898								XP_001545560.1								
OG0019899								XP_001545563.1								
OG0019900								XP_001545564.1								
OG0019901								XP_001545565.1								
OG0019902								XP_001545567.1								
OG0019903								XP_001545572.1								
OG0019904								XP_001545576.1								
OG0019905								XP_001545587.1_BC1G_15885								
OG0019906								XP_001545594.1_BC1G_15892								
OG0019907								XP_001545602.1								
OG0019908								XP_001545608.1_BC1G_15818								
OG0019909								XP_001545617.1_BC1G_15844								
OG0019910								XP_001545618.1_BC1G_15845								
OG0019911								XP_001545620.1								
OG0019912								XP_001545623.1								
OG0019913								XP_001545624.1_BC1G_15851								
OG0019914								XP_001545625.1_BC1G_15852_								
OG0019915								XP_001545627.1_BC1G_15854								
OG0019916								XP_001545628.1_BC1G_15855								
OG0019917								XP_001545629.1_BC1G_15856								
OG0019918								XP_001545631.1_BC1G_15858								
OG0019919								XP_001545637.1								
OG0019920								XP_001545639.1								
OG0019921								XP_001545644.1								
OG0019922								XP_001545645.1								
OG0019923								XP_001545650.1								
OG0019924								XP_001545656.1								
OG0019925								XP_001545657.1								
OG0019926								XP_001545659.1_BC1G_15869								
OG0019927								XP_001545660.1_BC1G_15870								
OG0019928								XP_001545661.1_BC1G_15871								
OG0019929								XP_001545662.1_BC1G_15872								
OG0019930								XP_001545663.1_BC1G_15873								
OG0019931								XP_001545665.1								
OG0019932								XP_001545667.1								
OG0019933								XP_001545668.1								
OG0019934								XP_001545669.1_BC1G_15879								
OG0019935								XP_001545670.1_BC1G_15880_								
OG0019936								XP_001545674.1								
OG0019937								XP_001545675.1								
OG0019938								XP_001545676.1								
OG0019939								XP_001545680.1								
OG0019940								XP_001545685.1								
OG0019941								XP_001545688.1								
OG0019942								XP_001545689.1								
OG0019943								XP_001545691.1								
OG0019944								XP_001545694.1								
OG0019945								XP_001545702.1								
OG0019946								XP_001545707.1_BC1G_15785								
OG0019947								XP_001545732.1								
OG0019948								XP_001545735.1								
OG0019949								XP_001545736.1								
OG0019950								XP_001545737.1_BC1G_15711								
OG0019951								XP_001545738.1_BC1G_15712								
OG0019952								XP_001545739.1								
OG0019953								XP_001545740.1								
OG0019954								XP_001545742.1								
OG0019955								XP_001545745.1								
OG0019956								XP_001545746.1								
OG0019957								XP_001545748.1								
OG0019958								XP_001545749.1								
OG0019959								XP_001545757.1								
OG0019960								XP_001545758.1_BC1G_15792								
OG0019961								XP_001545764.1_BC1G_15798								
OG0019962								XP_001545766.1_BC1G_15800								
OG0019963								XP_001545767.1_BC1G_15801								
OG0019964								XP_001545773.1_BC1G_15731								
OG0019965								XP_001545774.1								
OG0019966								XP_001545776.1_BC1G_15734								
OG0019967								XP_001545779.1								
OG0019968								XP_001545781.1								
OG0019969								XP_001545787.1								
OG0019970								XP_001545789.1								
OG0019971								XP_001545790.1								
OG0019972								XP_001545797.1_BC1G_15671								
OG0019973								XP_001545799.1								
OG0019974								XP_001545803.1								
OG0019975								XP_001545805.1_BC1G_15679								
OG0019976								XP_001545807.1								
OG0019977								XP_001545808.1								
OG0019978								XP_001545822.1								
OG0019979								XP_001545823.1_BC1G_15565								
OG0019980								XP_001545831.1_BC1G_15500								
OG0019981								XP_001545835.1_BC1G_15504								
OG0019982								XP_001545838.1								
OG0019983								XP_001545841.1								
OG0019984								XP_001545843.1_BC1G_15681_								
OG0019985								XP_001545845.1								
OG0019986								XP_001545848.1								
OG0019987								XP_001545852.1								
OG0019988								XP_001545855.1								
OG0019989								XP_001545856.1								
OG0019990								XP_001545857.1								
OG0019991								XP_001545858.1								
OG0019992								XP_001545859.1								
OG0019993								XP_001545860.1								
OG0019994								XP_001545861.1								
OG0019995								XP_001545867.1								
OG0019996								XP_001545880.1								
OG0019997								XP_001545885.1								
OG0019998								XP_001545887.1								
OG0019999								XP_001545890.1								
OG0020000								XP_001545893.1								
OG0020001								XP_001545894.1								
OG0020002								XP_001545895.1								
OG0020003								XP_001545897.1								
OG0020004								XP_001545902.1								
OG0020005								XP_001545905.1								
OG0020006								XP_001545906.1								
OG0020007								XP_001545911.1								
OG0020008								XP_001545912.1								
OG0020009								XP_001545914.1								
OG0020010								XP_001545924.1								
OG0020011								XP_001545931.1								
OG0020012								XP_001545932.1								
OG0020013								XP_001545933.1								
OG0020014								XP_001545937.1								
OG0020015								XP_001545939.1								
OG0020016								XP_001545940.1								
OG0020017								XP_001545944.1								
OG0020018								XP_001545946.1_BC1G_15274								
OG0020019								XP_001545948.1								
OG0020020								XP_001545959.1_BC1G_15287								
OG0020021								XP_001545960.1								
OG0020022								XP_001545962.1								
OG0020023								XP_001545965.1								
OG0020024								XP_001545966.1								
OG0020025								XP_001545968.1								
OG0020026								XP_001545971.1								
OG0020027								XP_001545973.1_BC1G_15581								
OG0020028								XP_001545975.1								
OG0020029								XP_001545979.1								
OG0020030								XP_001545982.1								
OG0020031								XP_001545983.1								
OG0020032								XP_001545986.1								
OG0020033								XP_001545987.1								
OG0020034								XP_001545988.1								
OG0020035								XP_001545989.1								
OG0020036								XP_001545991.1								
OG0020037								XP_001545999.1_BC1G_15448								
OG0020038								XP_001546010.1_BC1G_15482								
OG0020039								XP_001546011.1_BC1G_15483								
OG0020040								XP_001546013.1								
OG0020041								XP_001546014.1								
OG0020042								XP_001546015.1_BC1G_15487								
OG0020043								XP_001546019.1_BC1G_15491								
OG0020044								XP_001546021.1_BC1G_15493								
OG0020045								XP_001546022.1_BC1G_15494								
OG0020046								XP_001546027.1								
OG0020047								XP_001546028.1								
OG0020048								XP_001546029.1								
OG0020049								XP_001546031.1								
OG0020050								XP_001546032.1								
OG0020051								XP_001546036.1_BC1G_15379								
OG0020052								XP_001546039.1								
OG0020053								XP_001546041.1								
OG0020054								XP_001546042.1_BC1G_15385								
OG0020055								XP_001546048.1								
OG0020056								XP_001546051.1								
OG0020057								XP_001546052.1								
OG0020058								XP_001546055.1_BC1G_15530								
OG0020059								XP_001546061.1								
OG0020060								XP_001546063.1								
OG0020061								XP_001546068.1								
OG0020062								XP_001546069.1								
OG0020063								XP_001546071.1								
OG0020064								XP_001546072.1								
OG0020065								XP_001546074.1								
OG0020066								XP_001546075.1								
OG0020067								XP_001546076.1								
OG0020068								XP_001546077.1								
OG0020069								XP_001546078.1								
OG0020070								XP_001546079.1								
OG0020071								XP_001546080.1								
OG0020072								XP_001546081.1								
OG0020073								XP_001546082.1								
OG0020074								XP_001546083.1								
OG0020075								XP_001546084.1								
OG0020076								XP_001546085.1								
OG0020077								XP_001546086.1								
OG0020078								XP_001546087.1								
OG0020079								XP_001546088.1								
OG0020080								XP_001546089.1								
OG0020081								XP_001546090.1								
OG0020082								XP_001546091.1								
OG0020083								XP_001546092.1								
OG0020084								XP_001546093.1								
OG0020085								XP_001546097.1								
OG0020086								XP_001546101.1								
OG0020087								XP_001546102.1								
OG0020088								XP_001546105.1								
OG0020089								XP_001546110.1								
OG0020090								XP_001546111.1								
OG0020091								XP_001546113.1								
OG0020092								XP_001546117.1								
OG0020093								XP_001546119.1								
OG0020094								XP_001546120.1								
OG0020095								XP_001546128.1								
OG0020096								XP_001546133.1								
OG0020097								XP_001546134.1_BC1G_15320								
OG0020098								XP_001546135.1								
OG0020099								XP_001546136.1								
OG0020100								XP_001546138.1								
OG0020101								XP_001546139.1								
OG0020102								XP_001546140.1								
OG0020103								XP_001546141.1								
OG0020104								XP_001546142.1								
OG0020105								XP_001546143.1								
OG0020106								XP_001546145.1								
OG0020107								XP_001546150.1								
OG0020108								XP_001546168.1								
OG0020109								XP_001546170.1								
OG0020110								XP_001546174.1								
OG0020111								XP_001546175.1								
OG0020112								XP_001546183.1								
OG0020113								XP_001546187.1								
OG0020114								XP_001546189.1								
OG0020115								XP_001546190.1								
OG0020116								XP_001546191.1								
OG0020117								XP_001546192.1								
OG0020118								XP_001546195.1_BC1G_15238								
OG0020119								XP_001546200.1								
OG0020120								XP_001546204.1								
OG0020121								XP_001546207.1								
OG0020122								XP_001546209.1								
OG0020123								XP_001546210.1								
OG0020124								XP_001546215.1								
OG0020125								XP_001546222.1_BC1G_15127								
OG0020126								XP_001546225.1								
OG0020127								XP_001546226.1_BC1G_15289								
OG0020128								XP_001546232.1								
OG0020129								XP_001546233.1								
OG0020130								XP_001546236.1								
OG0020131								XP_001546240.1								
OG0020132								XP_001546246.1								
OG0020133								XP_001546247.1								
OG0020134								XP_001546248.1								
OG0020135								XP_001546249.1								
OG0020136								XP_001546251.1								
OG0020137								XP_001546257.1								
OG0020138								XP_001546259.1								
OG0020139								XP_001546260.1								
OG0020140								XP_001546262.1								
OG0020141								XP_001546263.1								
OG0020142								XP_001546264.1								
OG0020143								XP_001546265.1								
OG0020144								XP_001546266.1								
OG0020145								XP_001546268.1								
OG0020146								XP_001546269.1								
OG0020147								XP_001546271.1								
OG0020148								XP_001546274.1								
OG0020149								XP_001546279.1								
OG0020150								XP_001546281.1								
OG0020151								XP_001546282.1								
OG0020152								XP_001546283.1								
OG0020153								XP_001546284.1								
OG0020154								XP_001546285.1								
OG0020155								XP_001546286.1								
OG0020156								XP_001546287.1								
OG0020157								XP_001546288.1								
OG0020158								XP_001546289.1								
OG0020159								XP_001546292.1								
OG0020160								XP_001546293.1								
OG0020161								XP_001546295.1								
OG0020162								XP_001546296.1								
OG0020163								XP_001546297.1								
OG0020164								XP_001546299.1								
OG0020165								XP_001546300.1								
OG0020166								XP_001546304.1								
OG0020167								XP_001546311.1								
OG0020168								XP_001546312.1								
OG0020169								XP_001546313.1								
OG0020170								XP_001546314.1								
OG0020171								XP_001546319.1								
OG0020172								XP_001546320.1								
OG0020173								XP_001546322.1								
OG0020174								XP_001546328.1								
OG0020175								XP_001546331.1								
OG0020176								XP_001546336.1								
OG0020177								XP_001546337.1								
OG0020178								XP_001546338.1_BC1G_15001								
OG0020179								XP_001546343.1								
OG0020180								XP_001546345.1								
OG0020181								XP_001546346.1								
OG0020182								XP_001546348.1								
OG0020183								XP_001546349.1								
OG0020184								XP_001546356.1								
OG0020185								XP_001546362.1								
OG0020186								XP_001546363.1								
OG0020187								XP_001546365.1								
OG0020188								XP_001546366.1								
OG0020189								XP_001546367.1								
OG0020190								XP_001546368.1								
OG0020191								XP_001546369.1								
OG0020192								XP_001546377.1								
OG0020193								XP_001546380.1								
OG0020194								XP_001546381.1								
OG0020195								XP_001546382.1								
OG0020196								XP_001546388.1								
OG0020197								XP_001546389.1								
OG0020198								XP_001546393.1								
OG0020199								XP_001546395.1								
OG0020200								XP_001546396.1								
OG0020201								XP_001546398.1								
OG0020202								XP_001546400.1								
OG0020203								XP_001546401.1								
OG0020204								XP_001546407.1								
OG0020205								XP_001546408.1								
OG0020206								XP_001546410.1								
OG0020207								XP_001546411.1								
OG0020208								XP_001546412.1_BC1G_15099								
OG0020209								XP_001546418.1								
OG0020210								XP_001546421.1								
OG0020211								XP_001546422.1								
OG0020212								XP_001546426.1								
OG0020213								XP_001546428.1								
OG0020214								XP_001546431.1								
OG0020215								XP_001546445.1								
OG0020216								XP_001546446.1								
OG0020217								XP_001546450.1								
OG0020218								XP_001546451.1								
OG0020219								XP_001546452.1								
OG0020220								XP_001546455.1								
OG0020221								XP_001546464.1								
OG0020222								XP_001546474.1								
OG0020223								XP_001546476.1								
OG0020224								XP_001546478.1								
OG0020225								XP_001546479.1								
OG0020226								XP_001546481.1								
OG0020227								XP_001546492.1								
OG0020228								XP_001546496.1								
OG0020229								XP_001546497.1								
OG0020230								XP_001546499.1								
OG0020231								XP_001546506.1								
OG0020232								XP_001546514.1								
OG0020233								XP_001546516.1								
OG0020234								XP_001546518.1								
OG0020235								XP_001546520.1								
OG0020236								XP_001546521.1								
OG0020237								XP_001546525.1								
OG0020238								XP_001546532.1								
OG0020239								XP_001546533.1								
OG0020240								XP_001546535.1								
OG0020241								XP_001546536.1								
OG0020242								XP_001546538.1								
OG0020243								XP_001546539.1								
OG0020244								XP_001546542.1								
OG0020245								XP_001546545.1								
OG0020246								XP_001546547.1								
OG0020247								XP_001546557.1								
OG0020248								XP_001546558.1								
OG0020249								XP_001546565.1_BC1G_14914								
OG0020250								XP_001546566.1_BC1G_14915								
OG0020251								XP_001546570.1								
OG0020252								XP_001546572.1								
OG0020253								XP_001546573.1								
OG0020254								XP_001546574.1								
OG0020255								XP_001546576.1								
OG0020256								XP_001546578.1_BC1G_14927								
OG0020257								XP_001546580.1								
OG0020258								XP_001546587.1								
OG0020259								XP_001546589.1								
OG0020260								XP_001546598.1								
OG0020261								XP_001546602.1								
OG0020262								XP_001546604.1								
OG0020263								XP_001546609.1								
OG0020264								XP_001546610.1								
OG0020265								XP_001546613.1								
OG0020266								XP_001546614.1								
OG0020267								XP_001546616.1								
OG0020268								XP_001546617.1								
OG0020269								XP_001546618.1								
OG0020270								XP_001546619.1								
OG0020271								XP_001546624.1								
OG0020272								XP_001546625.1								
OG0020273								XP_001546631.1								
OG0020274								XP_001546638.1								
OG0020275								XP_001546639.1								
OG0020276								XP_001546642.1								
OG0020277								XP_001546644.1								
OG0020278								XP_001546648.1								
OG0020279								XP_001546649.1								
OG0020280								XP_001546650.1								
OG0020281								XP_001546652.1								
OG0020282								XP_001546656.1								
OG0020283								XP_001546658.1								
OG0020284								XP_001546659.1								
OG0020285								XP_001546660.1								
OG0020286								XP_001546661.1								
OG0020287								XP_001546662.1								
OG0020288								XP_001546663.1								
OG0020289								XP_001546668.1								
OG0020290								XP_001546672.1								
OG0020291								XP_001546677.1								
OG0020292								XP_001546679.1_BC1G_14186								
OG0020293								XP_001546683.1								
OG0020294								XP_001546688.1								
OG0020295								XP_001546693.1								
OG0020296								XP_001546694.1								
OG0020297								XP_001546695.1								
OG0020298								XP_001546696.1								
OG0020299								XP_001546700.1								
OG0020300								XP_001546701.1								
OG0020301								XP_001546702.1								
OG0020302								XP_001546703.1								
OG0020303								XP_001546704.1								
OG0020304								XP_001546707.1								
OG0020305								XP_001546708.1								
OG0020306								XP_001546709.1								
OG0020307								XP_001546717.1								
OG0020308								XP_001546720.1								
OG0020309								XP_001546722.1								
OG0020310								XP_001546724.1								
OG0020311								XP_001546728.1								
OG0020312								XP_001546731.1								
OG0020313								XP_001546732.1								
OG0020314								XP_001546733.1								
OG0020315								XP_001546734.1								
OG0020316								XP_001546735.1								
OG0020317								XP_001546737.1								
OG0020318								XP_001546738.1								
OG0020319								XP_001546741.1								
OG0020320								XP_001546742.1								
OG0020321								XP_001546747.1_BC1G_14627								
OG0020322								XP_001546748.1_BC1G_14628								
OG0020323								XP_001546754.1								
OG0020324								XP_001546756.1_BC1G_14670								
OG0020325								XP_001546761.1_BC1G_14675								
OG0020326								XP_001546763.1								
OG0020327								XP_001546773.1								
OG0020328								XP_001546780.1								
OG0020329								XP_001546785.1								
OG0020330								XP_001546786.1								
OG0020331								XP_001546792.1								
OG0020332								XP_001546794.1								
OG0020333								XP_001546795.1								
OG0020334								XP_001546801.1								
OG0020335								XP_001546802.1								
OG0020336								XP_001546806.1								
OG0020337								XP_001546807.1								
OG0020338								XP_001546808.1								
OG0020339								XP_001546810.1								
OG0020340								XP_001546811.1								
OG0020341								XP_001546813.1								
OG0020342								XP_001546818.1								
OG0020343								XP_001546823.1								
OG0020344								XP_001546825.1_BC1G_14890								
OG0020345								XP_001546826.1								
OG0020346								XP_001546827.1								
OG0020347								XP_001546829.1								
OG0020348								XP_001546830.1_BC1G_14895								
OG0020349								XP_001546831.1								
OG0020350								XP_001546832.1								
OG0020351								XP_001546836.1								
OG0020352								XP_001546837.1								
OG0020353								XP_001546839.1								
OG0020354								XP_001546865.1								
OG0020355								XP_001546870.1								
OG0020356								XP_001546883.1								
OG0020357								XP_001546885.1								
OG0020358								XP_001546890.1_BC1G_14645								
OG0020359								XP_001546897.1								
OG0020360								XP_001546902.1								
OG0020361								XP_001546903.1								
OG0020362								XP_001546915.1								
OG0020363								XP_001546916.1								
OG0020364								XP_001546917.1								
OG0020365								XP_001546918.1								
OG0020366								XP_001546920.1								
OG0020367								XP_001546922.1								
OG0020368								XP_001546927.1								
OG0020369								XP_001546936.1								
OG0020370								XP_001546939.1								
OG0020371								XP_001546941.1								
OG0020372								XP_001546945.1								
OG0020373								XP_001546947.1								
OG0020374								XP_001546954.1								
OG0020375								XP_001546955.1								
OG0020376								XP_001546956.1								
OG0020377								XP_001546957.1								
OG0020378								XP_001546958.1								
OG0020379								XP_001546959.1								
OG0020380								XP_001546960.1								
OG0020381								XP_001546961.1								
OG0020382								XP_001546963.1								
OG0020383								XP_001546966.1								
OG0020384								XP_001546967.1								
OG0020385								XP_001546968.1								
OG0020386								XP_001546969.1								
OG0020387								XP_001546970.1								
OG0020388								XP_001546972.1_BC1G_14309								
OG0020389								XP_001546983.1_BC1G_14320								
OG0020390								XP_001546985.1								
OG0020391								XP_001546986.1								
OG0020392								XP_001546987.1								
OG0020393								XP_001546988.1								
OG0020394								XP_001546989.1								
OG0020395								XP_001546990.1								
OG0020396								XP_001546992.1								
OG0020397								XP_001546993.1								
OG0020398								XP_001547000.1								
OG0020399								XP_001547002.1								
OG0020400								XP_001547003.1								
OG0020401								XP_001547005.1								
OG0020402								XP_001547008.1_BC1G_14473								
OG0020403								XP_001547009.1_BC1G_14474								
OG0020404								XP_001547010.1								
OG0020405								XP_001547011.1_BC1G_14476								
OG0020406								XP_001547012.1								
OG0020407								XP_001547013.1_BC1G_14478								
OG0020408								XP_001547015.1								
OG0020409								XP_001547025.1								
OG0020410								XP_001547031.1								
OG0020411								XP_001547032.1								
OG0020412								XP_001547033.1								
OG0020413								XP_001547044.1_BC1G_14380								
OG0020414								XP_001547046.1								
OG0020415								XP_001547047.1								
OG0020416								XP_001547048.1								
OG0020417								XP_001547050.1								
OG0020418								XP_001547057.1								
OG0020419								XP_001547067.1								
OG0020420								XP_001547069.1								
OG0020421								XP_001547072.1								
OG0020422								XP_001547073.1								
OG0020423								XP_001547074.1								
OG0020424								XP_001547078.1_BC1G_14788								
OG0020425								XP_001547080.1								
OG0020426								XP_001547081.1								
OG0020427								XP_001547082.1								
OG0020428								XP_001547090.1								
OG0020429								XP_001547092.1								
OG0020430								XP_001547093.1								
OG0020431								XP_001547094.1								
OG0020432								XP_001547097.1								
OG0020433								XP_001547100.1								
OG0020434								XP_001547108.1								
OG0020435								XP_001547111.1								
OG0020436								XP_001547115.1								
OG0020437								XP_001547122.1								
OG0020438								XP_001547123.1_BC1G_14561								
OG0020439								XP_001547126.1								
OG0020440								XP_001547127.1								
OG0020441								XP_001547128.1								
OG0020442								XP_001547133.1								
OG0020443								XP_001547134.1								
OG0020444								XP_001547135.1								
OG0020445								XP_001547136.1								
OG0020446								XP_001547139.1								
OG0020447								XP_001547144.1								
OG0020448								XP_001547146.1_BC1G_14584								
OG0020449								XP_001547150.1								
OG0020450								XP_001547151.1								
OG0020451								XP_001547154.1								
OG0020452								XP_001547155.1								
OG0020453								XP_001547163.1								
OG0020454								XP_001547170.1								
OG0020455								XP_001547174.1_BC1G_14430								
OG0020456								XP_001547180.1								
OG0020457								XP_001547182.1								
OG0020458								XP_001547187.1								
OG0020459								XP_001547189.1								
OG0020460								XP_001547192.1								
OG0020461								XP_001547193.1								
OG0020462								XP_001547196.1_BC1G_13684								
OG0020463								XP_001547197.1_BC1G_13685								
OG0020464								XP_001547205.1_BC1G_13693								
OG0020465								XP_001547209.1								
OG0020466								XP_001547210.1								
OG0020467								XP_001547216.1								
OG0020468								XP_001547238.1_BC1G_14333								
OG0020469								XP_001547240.1								
OG0020470								XP_001547241.1								
OG0020471								XP_001547243.1								
OG0020472								XP_001547245.1								
OG0020473								XP_001547249.1								
OG0020474								XP_001547255.1_BC1G_14350								
OG0020475								XP_001547257.1								
OG0020476								XP_001547259.1								
OG0020477								XP_001547266.1								
OG0020478								XP_001547267.1								
OG0020479								XP_001547271.1								
OG0020480								XP_001547275.1								
OG0020481								XP_001547282.1								
OG0020482								XP_001547289.1								
OG0020483								XP_001547290.1								
OG0020484								XP_001547291.1								
OG0020485								XP_001547294.1								
OG0020486								XP_001547295.1								
OG0020487								XP_001547296.1								
OG0020488								XP_001547298.1_BC1G_13920								
OG0020489								XP_001547300.1_BC1G_13922_								
OG0020490								XP_001547301.1_BC1G_14074_								
OG0020491								XP_001547306.1								
OG0020492								XP_001547313.1								
OG0020493								XP_001547314.1								
OG0020494								XP_001547317.1								
OG0020495								XP_001547318.1								
OG0020496								XP_001547319.1								
OG0020497								XP_001547320.1								
OG0020498								XP_001547322.1								
OG0020499								XP_001547326.1								
OG0020500								XP_001547327.1								
OG0020501								XP_001547329.1								
OG0020502								XP_001547332.1								
OG0020503								XP_001547335.1								
