Contig Num_Genes Num_Blastp_hits 1st_Frq_hit 2nd_Frq_hit 1st_Frq_count 2nd_Frq_count 1st_Frq_% 2nd_Frq_%
NODE_18953_length_2326_cov_28.242438 1 1 Colletotrichum Colletotrichum 1 1 1.00000000000000000000 1.00000000000000000000
NODE_18_length_451037_cov_33.835749 113 111 Xylona Diplodia 11 8 .09734513274336283185 .07079646017699115044
NODE_190_length_91965_cov_36.581325 24 24 Xylona Botryotinia 2 2 .08333333333333333333 .08333333333333333333
NODE_1912_length_16525_cov_30.554953 3 3 Phialocephala Sclerotinia 2 1 .66666666666666666666 .33333333333333333333
NODE_191_length_91346_cov_30.367743 32 32 Phialocephala Marssonina 14 9 .43750000000000000000 .28125000000000000000
NODE_193_length_90986_cov_36.836644 10 10 Xylona Talaromyces 3 1 .30000000000000000000 .10000000000000000000
NODE_1944_length_16365_cov_30.136213 2 2 Rhinocladiella Pyrenophora 1 1 .50000000000000000000 .50000000000000000000
NODE_1945_length_16359_cov_53.572686 1 1 Ajellomyces Ajellomyces 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1953_length_16288_cov_32.595475 3 3 Phialocephala Paraphaeosphaeria 1 1 .33333333333333333333 .33333333333333333333
NODE_1954_length_16288_cov_30.107189 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_195_length_90909_cov_43.864501 23 23 Xylona Zymoseptoria 4 1 .17391304347826086956 .04347826086956521739
NODE_196_length_90856_cov_31.951601 16 15 Phialocephala Marssonina 10 3 .62500000000000000000 .18750000000000000000
NODE_197_length_90796_cov_29.638430 9 9 Phialocephala Marssonina 5 2 .55555555555555555555 .22222222222222222222
NODE_19842_length_2246_cov_54.751756 1 1 Glarea Glarea 1 1 1.00000000000000000000 1.00000000000000000000
NODE_198_length_90793_cov_33.115039 25 24 Pseudocercospora Xylona 3 2 .12000000000000000000 .08000000000000000000
NODE_1998_length_15993_cov_31.814696 2 2 Phialocephala Phialocephala 2 2 1.00000000000000000000 1.00000000000000000000
NODE_199_length_90701_cov_30.011028 18 18 Phialocephala Marssonina 14 3 .77777777777777777777 .16666666666666666666
NODE_19_length_431600_cov_34.969135 98 97 Coniosporium Xylona 10 7 .10204081632653061224 .07142857142857142857
NODE_1_length_1808665_cov_34.602153 379 374 Xylona Phialocephala 34 23 .08970976253298153034 .06068601583113456464
NODE_200_length_90629_cov_29.362801 18 18 Phialocephala Marssonina 12 3 .66666666666666666666 .16666666666666666666
NODE_2010_length_15920_cov_52.564615 1 1 Aureobasidium Aureobasidium 1 1 1.00000000000000000000 1.00000000000000000000
NODE_2023_length_15818_cov_32.999873 1 1 Marssonina Marssonina 1 1 1.00000000000000000000 1.00000000000000000000
NODE_202_length_89347_cov_30.972982 25 25 Phialocephala Marssonina 18 4 .72000000000000000000 .16000000000000000000
NODE_2037_length_15742_cov_29.926940 2 2 Phialocephala Phialocephala 2 2 1.00000000000000000000 1.00000000000000000000
NODE_203_length_87818_cov_31.480213 17 17 Phialocephala Marssonina 8 4 .47058823529411764705 .23529411764705882352
NODE_204_length_87701_cov_31.670453 20 20 Phialocephala Marssonina 14 6 .70000000000000000000 .30000000000000000000
NODE_2060_length_15614_cov_32.585822 3 3 Marssonina Phialocephala 2 1 .66666666666666666666 .33333333333333333333
NODE_2064_length_15588_cov_34.742844 1 1 Aureobasidium Aureobasidium 1 1 1.00000000000000000000 1.00000000000000000000
NODE_206_length_87608_cov_29.693109 23 22 Phialocephala Marssonina 13 5 .56521739130434782608 .21739130434782608695
NODE_2071_length_15552_cov_29.537400 5 5 Phialocephala Melampsora 3 1 .60000000000000000000 .20000000000000000000
NODE_2078_length_15537_cov_29.450668 5 5 Phialocephala Marssonina 3 2 .60000000000000000000 .40000000000000000000
NODE_208_length_87496_cov_29.415151 21 21 Phialocephala Marssonina 16 2 .76190476190476190476 .09523809523809523809
NODE_2099_length_15335_cov_30.371453 2 2 Phialocephala Glarea 1 1 .50000000000000000000 .50000000000000000000
NODE_20_length_413167_cov_34.800778 90 90 Phialocephala Zymoseptoria 5 4 .05555555555555555555 .04444444444444444444
NODE_211_length_86664_cov_29.310758 28 27 Phialocephala Marssonina 18 5 .64285714285714285714 .17857142857142857142
NODE_212_length_86634_cov_29.864013 25 25 Phialocephala Marssonina 11 8 .44000000000000000000 .32000000000000000000
NODE_2133_length_15159_cov_30.142212 3 2 Phialocephala Marssonina 1 1 .33333333333333333333 .33333333333333333333
NODE_2135_length_15145_cov_30.566982 4 4 Phialocephala Marssonina 3 1 .75000000000000000000 .25000000000000000000
NODE_2140_length_15118_cov_31.419671 1 1 Glarea Glarea 1 1 1.00000000000000000000 1.00000000000000000000
NODE_2142_length_15113_cov_29.946474 4 4 Phialocephala Marssonina 2 1 .50000000000000000000 .25000000000000000000
NODE_214_length_85698_cov_30.261699 22 21 Phialocephala Marssonina 10 4 .45454545454545454545 .18181818181818181818
NODE_2151_length_15071_cov_36.451671 2 2 Bipolaris Beauveria 1 1 .50000000000000000000 .50000000000000000000
NODE_2153_length_15070_cov_28.322348 4 3 Phialocephala Phialocephala 3 3 .75000000000000000000 .75000000000000000000
NODE_215_length_85413_cov_35.092401 18 17 Xylona Phialocephala 3 3 .16666666666666666666 .16666666666666666666
NODE_216_length_85002_cov_29.860633 22 22 Phialocephala Marssonina 10 9 .45454545454545454545 .40909090909090909090
NODE_217_length_84428_cov_31.311503 15 14 Phialocephala Marssonina 9 3 .60000000000000000000 .20000000000000000000
NODE_2188_length_14854_cov_31.992403 2 2 Botryotinia Ajellomyces 1 1 .50000000000000000000 .50000000000000000000
NODE_218_length_84092_cov_43.870161 19 18 Phialocephala Marssonina 6 4 .31578947368421052631 .21052631578947368421
NODE_219_length_83921_cov_29.847500 23 23 Phialocephala Glarea 14 3 .60869565217391304347 .13043478260869565217
NODE_21_length_402910_cov_33.508365 92 91 Xylona Phialocephala 9 7 .09782608695652173913 .07608695652173913043
NODE_221_length_83242_cov_31.280774 18 17 Phialocephala Marssonina 9 3 .50000000000000000000 .16666666666666666666
NODE_2226_length_14656_cov_28.707666 1 1 Marssonina Marssonina 1 1 1.00000000000000000000 1.00000000000000000000
NODE_222_length_82820_cov_29.465367 29 28 Phialocephala Marssonina 12 4 .41379310344827586206 .13793103448275862068
NODE_2287_length_14372_cov_29.935699 2 2 Chaetomium Ajellomyces 1 1 .50000000000000000000 .50000000000000000000
NODE_228_length_81064_cov_30.240745 24 24 Phialocephala Glarea 10 7 .41666666666666666666 .29166666666666666666
NODE_229_length_80681_cov_30.616582 20 20 Phialocephala Marssonina 13 4 .65000000000000000000 .20000000000000000000
NODE_22_length_375069_cov_35.056356 70 69 Coniosporium Xylona 8 7 .11428571428571428571 .10000000000000000000
NODE_2300_length_14303_cov_29.690600 2 2 Sclerotinia Glarea 1 1 .50000000000000000000 .50000000000000000000
NODE_2306_length_14275_cov_30.323567 2 2 Phialocephala Phialocephala 2 2 1.00000000000000000000 1.00000000000000000000
NODE_2316_length_14235_cov_41.974865 1 1 Botryotinia Botryotinia 1 1 1.00000000000000000000 1.00000000000000000000
NODE_23177_length_1993_cov_58.625399 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_231_length_80414_cov_40.584872 14 14 Xylona Diplodia 2 2 .14285714285714285714 .14285714285714285714
NODE_2343_length_14102_cov_39.277750 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_2344_length_14099_cov_29.486202 2 2 Phialocephala Phialocephala 2 2 1.00000000000000000000 1.00000000000000000000
NODE_234_length_79774_cov_29.908967 11 11 Phialocephala Pseudogymnoascus 7 2 .63636363636363636363 .18181818181818181818
NODE_2355_length_14037_cov_29.618699 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_2358_length_14019_cov_29.509779 2 2 Marssonina Botryotinia 1 1 .50000000000000000000 .50000000000000000000
NODE_235_length_79625_cov_41.388158 19 18 Sphaerulina Phialocephala 2 2 .10526315789473684210 .10526315789473684210
NODE_2370_length_13966_cov_27.699675 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_23853_length_1949_cov_56.112622 1 1 Pyrenophora Pyrenophora 1 1 1.00000000000000000000 1.00000000000000000000
NODE_238_length_77743_cov_32.442446 16 16 Phialocephala Marssonina 11 2 .68750000000000000000 .12500000000000000000
NODE_2399_length_13869_cov_30.590565 3 3 Phialocephala Marssonina 2 1 .66666666666666666666 .33333333333333333333
NODE_23_length_356105_cov_33.373442 88 86 Coniosporium Aureobasidium 6 5 .06818181818181818181 .05681818181818181818
NODE_2403_length_13859_cov_30.012365 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_240_length_77602_cov_29.820728 25 24 Phialocephala Marssonina 14 6 .56000000000000000000 .24000000000000000000
NODE_2421_length_13807_cov_29.048992 2 2 Glarea Aspergillus 1 1 .50000000000000000000 .50000000000000000000
NODE_2438_length_13742_cov_30.278996 4 4 Phialocephala Pyrenophora 3 1 .75000000000000000000 .25000000000000000000
NODE_243_length_76256_cov_29.811925 8 8 Glarea Marssonina 3 2 .37500000000000000000 .25000000000000000000
NODE_245_length_75900_cov_35.239679 19 19 Xylona Talaromyces 4 3 .21052631578947368421 .15789473684210526315
NODE_2463_length_13653_cov_42.070300 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_2465_length_13636_cov_33.633272 4 4 Marssonina Talaromyces 3 1 .75000000000000000000 .25000000000000000000
NODE_247_length_75769_cov_29.857067 25 25 Phialocephala Marssonina 11 7 .44000000000000000000 .28000000000000000000
NODE_2489_length_13523_cov_28.707799 3 3 Purpureocillium Phialocephala 1 1 .33333333333333333333 .33333333333333333333
NODE_249_length_75150_cov_32.856621 16 16 Coniosporium Xylona 3 2 .18750000000000000000 .12500000000000000000
NODE_24_length_354858_cov_29.817422 56 55 Phialocephala Marssonina 29 12 .51785714285714285714 .21428571428571428571
NODE_250_length_74983_cov_28.783230 13 11 Phialocephala Marssonina 7 2 .53846153846153846153 .15384615384615384615
NODE_251_length_74488_cov_30.978811 17 15 Phialocephala Marssonina 7 3 .41176470588235294117 .17647058823529411764
NODE_2527_length_13321_cov_33.769569 3 3 Phialocephala Marssonina 1 1 .33333333333333333333 .33333333333333333333
NODE_2549_length_13217_cov_29.397146 1 1 Botryotinia Botryotinia 1 1 1.00000000000000000000 1.00000000000000000000
NODE_2557_length_13186_cov_31.048031 4 4 Phialocephala Marssonina 2 1 .50000000000000000000 .25000000000000000000
NODE_2577_length_13055_cov_29.525368 4 2 N/A Botryotinia 2 1 .50000000000000000000 .25000000000000000000
NODE_257_length_73828_cov_33.430918 15 14 Phialocephala Marssonina 9 3 .60000000000000000000 .20000000000000000000
NODE_25871_length_1836_cov_79.907826 1 1 Glarea Glarea 1 1 1.00000000000000000000 1.00000000000000000000
NODE_258_length_73585_cov_29.528337 20 20 Phialocephala Marssonina 12 5 .60000000000000000000 .25000000000000000000
NODE_2591_length_12994_cov_29.489327 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_259_length_73538_cov_33.393084 12 12 Xylona Talaromyces 1 1 .08333333333333333333 .08333333333333333333
NODE_25_length_333760_cov_34.868988 56 56 Xylona Phialocephala 6 4 .10714285714285714285 .07142857142857142857
NODE_260_length_73454_cov_33.511978 15 15 Xylona Trichophyton 2 1 .13333333333333333333 .06666666666666666666
NODE_262_length_72967_cov_38.667522 13 13 Phialocephala Marssonina 6 3 .46153846153846153846 .23076923076923076923
NODE_2654_length_12695_cov_70.811666 3 3 Phialocephala Marssonina 2 1 .66666666666666666666 .33333333333333333333
NODE_2656_length_12686_cov_29.690656 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_267_length_72114_cov_32.508062 15 15 Phialocephala Marssonina 6 5 .40000000000000000000 .33333333333333333333
NODE_269_length_71551_cov_31.928835 17 17 Phialocephala Glarea 11 2 .64705882352941176470 .11764705882352941176
NODE_26_length_332273_cov_38.150315 64 64 Xylona Phialocephala 8 4 .12500000000000000000 .06250000000000000000
NODE_27070_length_1774_cov_30.428142 1 1 Botryotinia Botryotinia 1 1 1.00000000000000000000 1.00000000000000000000
NODE_270_length_71495_cov_31.157626 18 17 Phialocephala Glarea 11 4 .61111111111111111111 .22222222222222222222
NODE_27160_length_1770_cov_155.683544 1 1 Pestalotiopsis Pestalotiopsis 1 1 1.00000000000000000000 1.00000000000000000000
NODE_272_length_71178_cov_32.809476 20 20 Marssonina Phialocephala 9 5 .45000000000000000000 .25000000000000000000
NODE_273_length_70980_cov_31.189857 21 21 Phialocephala Marssonina 11 5 .52380952380952380952 .23809523809523809523
NODE_27545_length_1753_cov_31.420828 2 2 Trichophyton Aspergillus 1 1 .50000000000000000000 .50000000000000000000
NODE_275_length_70279_cov_30.008679 10 10 Phialocephala Marssonina 5 2 .50000000000000000000 .20000000000000000000
NODE_276_length_70175_cov_31.472168 7 7 Phialocephala Phialocephala 7 7 1.00000000000000000000 1.00000000000000000000
NODE_2776_length_12272_cov_29.693693 2 2 Phialocephala Phialocephala 2 2 1.00000000000000000000 1.00000000000000000000
NODE_277_length_69806_cov_30.382079 17 17 Phialocephala Marssonina 11 4 .64705882352941176470 .23529411764705882352
NODE_27808_length_1740_cov_25.163904 1 1 Exophiala Exophiala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_2780_length_12258_cov_30.792377 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_27_length_329178_cov_34.430909 68 68 Xylona Coniosporium 12 6 .17647058823529411764 .08823529411764705882
NODE_280_length_69441_cov_30.016414 12 11 Phialocephala Marssonina 5 3 .41666666666666666666 .25000000000000000000
NODE_2816_length_12114_cov_30.209114 3 3 Phialocephala Metarhizium 1 1 .33333333333333333333 .33333333333333333333
NODE_281_length_69371_cov_34.384984 19 18 Xylona Ochroconis 3 2 .15789473684210526315 .10526315789473684210
NODE_284_length_69142_cov_33.831061 15 14 Phialocephala Marssonina 8 4 .53333333333333333333 .26666666666666666666
NODE_285_length_68593_cov_40.396936 13 13 Xylona Sphaerulina 2 2 .15384615384615384615 .15384615384615384615
NODE_286_length_68561_cov_30.236801 15 15 Phialocephala Sclerotinia 5 2 .33333333333333333333 .13333333333333333333
NODE_287_length_68485_cov_29.506406 14 14 Phialocephala Marssonina 6 3 .42857142857142857142 .21428571428571428571
NODE_2886_length_11863_cov_28.445031 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_28_length_312885_cov_33.502286 68 68 Xylona Diplodia 8 5 .11764705882352941176 .07352941176470588235
NODE_290_length_67713_cov_31.653575 5 5 Phialocephala Sclerotinia 3 1 .60000000000000000000 .20000000000000000000
NODE_2923_length_11759_cov_31.272922 3 3 Glarea Phialocephala 2 1 .66666666666666666666 .33333333333333333333
NODE_292_length_67374_cov_37.391270 19 19 Phialocephala Marssonina 13 2 .68421052631578947368 .10526315789473684210
NODE_2934_length_11695_cov_29.236188 2 2 Sclerotinia Phialocephala 1 1 .50000000000000000000 .50000000000000000000
NODE_293_length_66948_cov_32.065817 8 7 Phialocephala Talaromyces 5 1 .62500000000000000000 .12500000000000000000
NODE_2941_length_11679_cov_29.919001 1 1 Talaromyces Talaromyces 1 1 1.00000000000000000000 1.00000000000000000000
NODE_2947_length_11670_cov_29.937538 2 2 Phialocephala Phialocephala 2 2 1.00000000000000000000 1.00000000000000000000
NODE_295_length_66207_cov_30.538626 11 11 Phialocephala Marssonina 4 3 .36363636363636363636 .27272727272727272727
NODE_297_length_66074_cov_30.524946 9 9 Phialocephala Sclerotinia 6 1 .66666666666666666666 .11111111111111111111
NODE_298_length_66058_cov_30.820614 13 13 Phialocephala Marssonina 6 5 .46153846153846153846 .38461538461538461538
NODE_299_length_65595_cov_32.095016 12 12 Phialocephala Marssonina 10 2 .83333333333333333333 .16666666666666666666
NODE_29_length_311917_cov_35.056426 51 51 Xylona Coniosporium 7 5 .13725490196078431372 .09803921568627450980
NODE_2_length_1608424_cov_34.293083 357 355 Xylona Coniosporium 34 22 .09523809523809523809 .06162464985994397759
NODE_3036_length_11398_cov_30.345264 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_303_length_64974_cov_29.363705 15 15 Phialocephala Glarea 7 3 .46666666666666666666 .20000000000000000000
NODE_3049_length_11369_cov_30.799876 4 4 Phialocephala Marssonina 3 1 .75000000000000000000 .25000000000000000000
NODE_305_length_64680_cov_32.505707 10 10 Phialocephala Marssonina 3 2 .30000000000000000000 .20000000000000000000
NODE_3086_length_11228_cov_29.490780 2 2 Phialocephala Glarea 1 1 .50000000000000000000 .50000000000000000000
NODE_308_length_64136_cov_39.121968 11 11 Glarea Trichoderma 2 1 .18181818181818181818 .09090909090909090909
NODE_30_length_309553_cov_33.178172 72 71 Phialocephala Marssonina 42 13 .58333333333333333333 .18055555555555555555
NODE_312_length_63817_cov_30.058378 22 21 Phialocephala Marssonina 13 4 .59090909090909090909 .18181818181818181818
NODE_3130_length_11100_cov_28.930931 1 1 Marssonina Marssonina 1 1 1.00000000000000000000 1.00000000000000000000
NODE_313_length_63482_cov_30.360133 17 17 Phialocephala Marssonina 10 4 .58823529411764705882 .23529411764705882352
NODE_3142_length_11075_cov_30.375410 3 3 Phialocephala Pochonia 2 1 .66666666666666666666 .33333333333333333333
NODE_314_length_63480_cov_30.878884 9 9 Phialocephala Glarea 6 2 .66666666666666666666 .22222222222222222222
NODE_3173_length_10978_cov_29.579277 3 3 Sclerotinia Phialocephala 1 1 .33333333333333333333 .33333333333333333333
NODE_318_length_62821_cov_30.159432 14 14 Phialocephala Marssonina 10 2 .71428571428571428571 .14285714285714285714
NODE_319_length_62774_cov_30.169941 11 11 Phialocephala Glarea 6 3 .54545454545454545454 .27272727272727272727
NODE_31_length_307281_cov_33.586158 81 81 Xylona Aureobasidium 12 7 .14814814814814814814 .08641975308641975308
NODE_324_length_62238_cov_31.997103 25 25 Phialocephala Marssonina 14 6 .56000000000000000000 .24000000000000000000
NODE_3255_length_10762_cov_29.760398 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_3259_length_10750_cov_28.148698 2 2 Fusarium Aspergillus 1 1 .50000000000000000000 .50000000000000000000
NODE_325_length_62039_cov_32.492572 5 5 Phialocephala Marssonina 3 2 .60000000000000000000 .40000000000000000000
NODE_328_length_61661_cov_30.457108 9 9 Phialocephala Verticillium 4 1 .44444444444444444444 .11111111111111111111
NODE_3305_length_10646_cov_30.054295 3 3 Marssonina Sclerotinia 2 1 .66666666666666666666 .33333333333333333333
NODE_330_length_61347_cov_32.995656 15 15 Phialocephala Marssonina 9 2 .60000000000000000000 .13333333333333333333
NODE_3313_length_10614_cov_29.962392 2 2 Sclerotinia Phialocephala 1 1 .50000000000000000000 .50000000000000000000
NODE_3327_length_10582_cov_30.568905 1 1 Glarea Glarea 1 1 1.00000000000000000000 1.00000000000000000000
NODE_332_length_61210_cov_29.716755 9 9 Phialocephala Marssonina 7 1 .77777777777777777777 .11111111111111111111
NODE_3331_length_10569_cov_29.730254 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_33346_length_1529_cov_28.773625 1 1 Talaromyces Talaromyces 1 1 1.00000000000000000000 1.00000000000000000000
NODE_337_length_60393_cov_33.762699 14 13 Coniosporium Phialocephala 3 2 .21428571428571428571 .14285714285714285714
NODE_338_length_60388_cov_29.952735 11 11 Phialocephala Marssonina 7 3 .63636363636363636363 .27272727272727272727
NODE_33_length_302562_cov_34.020701 69 68 Xylona Glarea 6 5 .08695652173913043478 .07246376811594202898
NODE_3405_length_10365_cov_30.892432 2 2 Phialocephala Marssonina 1 1 .50000000000000000000 .50000000000000000000
NODE_340_length_60130_cov_30.245372 14 14 Phialocephala Marssonina 9 2 .64285714285714285714 .14285714285714285714
NODE_34135_length_1504_cov_59.142857 1 0 N/A  1  1.00000000000000000000 
NODE_342_length_59691_cov_30.380111 20 18 Phialocephala Marssonina 8 5 .40000000000000000000 .25000000000000000000
NODE_344_length_59411_cov_30.153255 13 13 Phialocephala Pseudogymnoascus 8 1 .61538461538461538461 .07692307692307692307
NODE_346_length_59293_cov_32.227113 6 6 Phialocephala Marssonina 5 1 .83333333333333333333 .16666666666666666666
NODE_3471_length_10209_cov_29.965538 4 4 Phialocephala Marssonina 3 1 .75000000000000000000 .25000000000000000000
NODE_347_length_59273_cov_30.132568 13 13 Phialocephala Marssonina 8 3 .61538461538461538461 .23076923076923076923
NODE_348_length_59240_cov_31.759154 12 12 Phialocephala Marssonina 7 2 .58333333333333333333 .16666666666666666666
NODE_34_length_302514_cov_33.599581 84 83 Xylona Phialocephala 8 6 .09523809523809523809 .07142857142857142857
NODE_3502_length_10119_cov_29.521083 2 2 Sclerotinia Glarea 1 1 .50000000000000000000 .50000000000000000000
NODE_353_length_58731_cov_29.781218 7 6 Sclerotinia Phialocephala 3 3 .42857142857142857142 .42857142857142857142
NODE_354_length_58720_cov_29.870003 9 9 Phialocephala Myceliophthora 6 1 .66666666666666666666 .11111111111111111111
NODE_3555_length_10010_cov_712.649460 1 1 Sclerotinia Sclerotinia 1 1 1.00000000000000000000 1.00000000000000000000
NODE_355_length_58623_cov_31.460555 13 13 Phialocephala Marssonina 7 3 .53846153846153846153 .23076923076923076923
NODE_35_length_301864_cov_29.918453 69 67 Phialocephala Marssonina 34 11 .49275362318840579710 .15942028985507246376
NODE_3605_length_9891_cov_28.738753 2 1 N/A Marssonina 1 1 .50000000000000000000 .50000000000000000000
NODE_3617_length_9858_cov_29.308197 3 3 Marssonina Phialocephala 2 1 .66666666666666666666 .33333333333333333333
NODE_361_length_58136_cov_30.652564 6 6 Phialocephala Arthroderma 5 1 .83333333333333333333 .16666666666666666666
NODE_365_length_57709_cov_30.375204 9 8 Phialocephala Marssonina 5 2 .55555555555555555555 .22222222222222222222
NODE_3666_length_9760_cov_39.776246 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_367_length_57584_cov_29.869765 10 10 Phialocephala Pseudogymnoascus 4 2 .40000000000000000000 .20000000000000000000
NODE_3681_length_9715_cov_29.184923 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_36833_length_1429_cov_67.259484 1 1 Pyrenophora Pyrenophora 1 1 1.00000000000000000000 1.00000000000000000000
NODE_368_length_57342_cov_33.371250 11 11 Phialocephala Marssonina 4 3 .36363636363636363636 .27272727272727272727
NODE_369_length_57164_cov_30.534047 10 10 Phialocephala Glarea 5 3 .50000000000000000000 .30000000000000000000
NODE_36_length_300582_cov_34.080777 85 85 Phialocephala Diplodia 8 6 .09411764705882352941 .07058823529411764705
NODE_3706_length_9658_cov_30.565413 2 2 Phialocephala Phialocephala 2 2 1.00000000000000000000 1.00000000000000000000
NODE_370_length_57052_cov_31.614443 10 10 Phialocephala Marssonina 5 2 .50000000000000000000 .20000000000000000000
NODE_371_length_57052_cov_30.628317 11 11 Phialocephala Marssonina 9 2 .81818181818181818181 .18181818181818181818
NODE_375_length_56584_cov_33.208932 11 9 Phialocephala Sclerotinia 4 1 .36363636363636363636 .09090909090909090909
NODE_3772_length_9531_cov_499.248832 3 3 Rhynchosporium Rhynchosporium 1 1 .33333333333333333333 .33333333333333333333
NODE_3795_length_9486_cov_29.194987 3 3 Sclerotinia Phialocephala 1 1 .33333333333333333333 .33333333333333333333
NODE_37_length_295629_cov_30.564805 70 69 Phialocephala Marssonina 34 14 .48571428571428571428 .20000000000000000000
NODE_380_length_55631_cov_48.842345 12 12 Xylona Rasamsonia 2 1 .16666666666666666666 .08333333333333333333
NODE_3818_length_9440_cov_31.534891 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_381_length_55631_cov_30.674712 11 10 Phialocephala Marssonina 6 2 .54545454545454545454 .18181818181818181818
NODE_382_length_55599_cov_35.568069 9 8 Phialocephala Marssonina 4 2 .44444444444444444444 .22222222222222222222
NODE_3841_length_9391_cov_41.030172 1 1 Uncinocarpus Uncinocarpus 1 1 1.00000000000000000000 1.00000000000000000000
NODE_38424_length_1388_cov_60.597494 1 1 Sclerotinia Sclerotinia 1 1 1.00000000000000000000 1.00000000000000000000
NODE_3878_length_9327_cov_30.345161 3 3 Trichoderma Phialocephala 1 1 .33333333333333333333 .33333333333333333333
NODE_38_length_290482_cov_33.399203 71 70 Phialocephala Xylona 7 5 .09859154929577464788 .07042253521126760563
NODE_390_length_54562_cov_29.975831 12 12 Phialocephala Marssonina 7 3 .58333333333333333333 .25000000000000000000
NODE_3936_length_9219_cov_78.188845 2 2 Phialocephala Ajellomyces 1 1 .50000000000000000000 .50000000000000000000
NODE_396_length_53863_cov_29.941918 12 12 Phialocephala Glarea 5 4 .41666666666666666666 .33333333333333333333
NODE_398_length_53556_cov_32.554420 9 9 Phialocephala Marssonina 4 2 .44444444444444444444 .22222222222222222222
NODE_399_length_53522_cov_30.017993 12 11 Marssonina Phialocephala 4 2 .33333333333333333333 .16666666666666666666
NODE_39_length_290408_cov_33.031785 71 70 Phialocephala Xylona 7 5 .09859154929577464788 .07042253521126760563
NODE_3_length_1288287_cov_33.830732 273 273 Xylona Coniosporium 30 18 .10989010989010989010 .06593406593406593406
NODE_4008_length_9100_cov_37.487262 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_403_length_53278_cov_31.203359 13 13 Phialocephala Sclerotinia 7 3 .53846153846153846153 .23076923076923076923
NODE_405_length_53200_cov_30.201548 8 8 Phialocephala Marssonina 5 1 .62500000000000000000 .12500000000000000000
NODE_40630_length_1333_cov_63.966448 1 1 Marssonina Marssonina 1 1 1.00000000000000000000 1.00000000000000000000
NODE_406_length_53197_cov_29.808160 8 8 Phialocephala Neosartorya 5 1 .62500000000000000000 .12500000000000000000
NODE_407_length_53156_cov_32.486493 6 6 Phialocephala Marssonina 2 2 .33333333333333333333 .33333333333333333333
NODE_4080_length_8939_cov_28.952651 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_4090_length_8927_cov_31.074906 2 2 Phialocephala Phialocephala 2 2 1.00000000000000000000 1.00000000000000000000
NODE_4092_length_8920_cov_30.679305 2 2 Phialocephala Capronia 1 1 .50000000000000000000 .50000000000000000000
NODE_411_length_52853_cov_34.592469 15 15 Colletotrichum Xylona 2 1 .13333333333333333333 .06666666666666666666
NODE_413_length_52751_cov_33.032143 9 9 Phialocephala Marssonina 4 2 .44444444444444444444 .22222222222222222222
NODE_415_length_52501_cov_30.623611 14 14 Phialocephala Marssonina 11 2 .78571428571428571428 .14285714285714285714
NODE_4183_length_8772_cov_31.235770 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_418_length_52174_cov_30.050823 10 10 Phialocephala Marssonina 4 2 .40000000000000000000 .20000000000000000000
NODE_4195_length_8745_cov_31.175701 2 2 Sclerotinia Marssonina 1 1 .50000000000000000000 .50000000000000000000
NODE_41_length_281084_cov_30.301748 61 60 Phialocephala Marssonina 33 14 .54098360655737704918 .22950819672131147540
NODE_420_length_52050_cov_30.368413 8 7 Marssonina Glarea 3 3 .37500000000000000000 .37500000000000000000
NODE_421_length_52006_cov_51.686579 8 8 Pseudocercospora Phialocephala 1 1 .12500000000000000000 .12500000000000000000
NODE_425_length_51711_cov_29.677810 18 18 Phialocephala Marssonina 12 5 .66666666666666666666 .27777777777777777777
NODE_4266_length_8629_cov_45.353487 1 1 Cyphellophora Cyphellophora 1 1 1.00000000000000000000 1.00000000000000000000
